"Total","Positive","Negative","Final decision"
5,2,3,-1
3,0,3,-3
15,1,14,-13
321,46,275,-229
1,1,0,1
2,2,0,2
12,0,12,-12
1,0,1,-1
1,1,0,1
121,28,93,-65
4,0,4,-4
4,0,4,-4
3,0,3,-3
2,0,2,-2
16,1,15,-14
1,0,1,-1
1,1,0,1
486,51,435,-384
1,0,1,-1
1,0,1,-1
287,42,245,-203
68,14,54,-40
9,4,5,-1
5,1,4,-3
231,49,182,-133
18,2,16,-14
22,4,18,-14
5,0,5,-5
34,5,29,-24
2,0,2,-2
65,8,57,-49
1,1,0,1
199,33,166,-133
13,1,12,-11
12,6,6,0
4,1,3,-2
9,2,7,-5
53,1,52,-51
1,0,1,-1
14,5,9,-4
3,0,3,-3
1,0,1,-1
1,0,1,-1
58,7,51,-44
184,20,164,-144
1,1,0,1
1,0,1,-1
17,3,14,-11
1,0,1,-1
1,1,0,1
1,1,0,1
54,5,49,-44
20,4,16,-12
1,1,0,1
1,1,0,1
49,12,37,-25
1,1,0,1
1,0,1,-1
18,5,13,-8
8,0,8,-8
181,22,159,-137
1,0,1,-1
279,24,255,-231
5,0,5,-5
1,0,1,-1
6,0,6,-6
385,44,341,-297
7,1,6,-5
21,3,18,-15
2,0,2,-2
30,4,26,-22
20,1,19,-18
1,0,1,-1
64,18,46,-28
1,0,1,-1
1,0,1,-1
15,1,14,-13
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,1,0,1
1,1,0,1
1,1,0,1
2,1,1,0
1,1,0,1
109,21,88,-67
1,1,0,1
13,4,9,-5
109,19,90,-71
3,0,3,-3
9,3,6,-3
1,0,1,-1
26,3,23,-20
15,3,12,-9
2,1,1,0
1,0,1,-1
1,0,1,-1
250,62,188,-126
2,0,2,-2
112,14,98,-84
7,2,5,-3
58,18,40,-22
17,3,14,-11
1,1,0,1
1,1,0,1
1,1,0,1
28,6,22,-16
102,24,78,-54
1,0,1,-1
19,1,18,-17
22,1,21,-20
211,24,187,-163
1,0,1,-1
1,0,1,-1
100,14,86,-72
2,0,2,-2
1,0,1,-1
4,1,3,-2
1,1,0,1
1,1,0,1
8,1,7,-6
36,6,30,-24
2,1,1,0
6,3,3,0
2,0,2,-2
133,25,108,-83
55,4,51,-47
140,17,123,-106
68,2,66,-64
8,0,8,-8
91,14,77,-63
41,7,34,-27
1,1,0,1
5,1,4,-3
1,0,1,-1
2,0,2,-2
1,0,1,-1
178,22,156,-134
1,0,1,-1
3,1,2,-1
2,0,2,-2
3,2,1,1
1,0,1,-1
1,0,1,-1
1,0,1,-1
7,2,5,-3
229,39,190,-151
42,12,30,-18
62,8,54,-46
6,2,4,-2
1,0,1,-1
1,0,1,-1
19,0,19,-19
2,0,2,-2
39,9,30,-21
1,0,1,-1
1,0,1,-1
1,0,1,-1
54,7,47,-40
9,0,9,-9
3,1,2,-1
3,0,3,-3
337,33,304,-271
1,1,0,1
8,2,6,-4
27,0,27,-27
6,1,5,-4
19,3,16,-13
30,2,28,-26
103,9,94,-85
1,0,1,-1
35,3,32,-29
1,0,1,-1
394,47,347,-300
1,1,0,1
52,5,47,-42
1,1,0,1
1,1,0,1
20,4,16,-12
1,0,1,-1
1,0,1,-1
413,16,397,-381
2,0,2,-2
1,0,1,-1
2,0,2,-2
3,0,3,-3
8,0,8,-8
